Wrong,Right
I WANT TO  THAK  YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US  TO  THE RIVER TRIP TO GREENWICH.,I WANT TO  THANK  YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US  ON  THE RIVER TRIP TO GREENWICH.
IT  CONSISTS ON INVOLVES VISITING THE LONDON FASHION AND LEISURE SHOW  IN  THE CENTRAL EXHIBITION HALL.,IT  IN INVOLVES VISITING THE LONDON FASHION AND LEISURE SHOW  AT  THE CENTRAL EXHIBITION HALL.
"ON THE OTHER HAND , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL.","ALSO , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL."
I WILL BE  WRITING  ANXIOUSLY FOR YOUR RESPONSE.,I WILL BE  WAITING  ANXIOUSLY FOR YOUR RESPONSE.
"AS SOME OF THEM ARE CONSIDERED IDOLS, THEIR FANS WANT TO KNOW HOW THEY  ACT  IN THEIR PRIVATE LIVES, WITH THEIR FAMILY OR FRIENDS.","AS SOME OF THEM ARE CONSIDERED IDOLS, THEIR FANS WANT TO KNOW HOW THEY  BEHAVE  IN THEIR PRIVATE LIVES, WITH THEIR FAMILY OR FRIENDS."
"AS A RESPONSE TO THIS DEMAND  OF  INFORMATION, JOURNALISTS FOLLOW FAMOUS PEOPLE DAY AND NIGHT IN MANY DIFFERENT WAYS, FOR EXAMPLE, CHASING THEIR CARS, TAKING PHOTOGRAPHS OR BREAKING INTO THEIR HOUSES WHILE THEY ARE ON  HOLIDAYS .","AS A RESPONSE TO THIS DEMAND  FOR  INFORMATION, JOURNALISTS FOLLOW FAMOUS PEOPLE DAY AND NIGHT IN MANY DIFFERENT WAYS, FOR EXAMPLE, CHASING THEIR CARS, TAKING PHOTOGRAPHS OR BREAKING INTO THEIR HOUSES WHILE THEY ARE ON  HOLIDAY ."
THIS SITUATION AFFECTS FAMOUS  PERSONAL LIVES  BECAUSE THEY ARE NOT ALLOWED TO HAVE ANY PRIVACY.,THIS SITUATION AFFECTS FAMOUS  PEOPLE  BECAUSE THEY ARE NOT ALLOWED TO HAVE ANY PRIVACY.
"THE MOST IMPORTANT THING IS THAT, ALTHOUGH THEY ARE FAMOUS, THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME, AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE  FAMOUS THE RIGHT  TO KEEP THEIR PERSONAL LIVES IN SECRET.","THE MOST IMPORTANT THING IS THAT, ALTHOUGH THEY ARE FAMOUS, THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME, AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE  THE RIGHT OF THE FAMOUS  TO KEEP THEIR PERSONAL LIVES IN SECRET."
"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME  CASS , COSTS MORE THAN THEY DESERVE TO PAY.","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME  CASES , COSTS MORE THAN THEY DESERVE TO PAY."
"However, my class and I have seen an advertisement  about  a fashion and leisure show.","However, my class and I have seen an advertisement  for  a fashion and leisure show."
It is in the Central Exhibition Hall and will start  and  ten o'clock and finish at five o'clock in the evening.,It is in the Central Exhibition Hall and will start  at  ten o'clock and finish at five o'clock in the evening.
"Apparently, this show is free to all students, which means if we went, the cost of the trip  will  be  cut down .","Apparently, this show is free to all students, which means if we went, the cost of the trip  would  be  reduced ."
We like to keep up with the  rage  but I think it will help those who want to become  a fashion designer  later on.,We like to keep up with the  trends  but I think it will help those who want to become  designers  later on.
"For one, the future  homes  might not be built out of bricks at all!","For one, the future  home  might not be built out of bricks at all!"
